Tract,"Income"
"1","168,477"
"2.01","-"
"2.02","162,981"
"3","133,008"
"4","143,229"
"5.01","109,081"
"5.02","129,779"
"6","221,103"
"7.01","89,889"
"7.02","71,671"
"8.01","148,456"
"8.02","99,808"
"9.01","242,208"
"9.02","205,469"
"10.01","164,180"
"10.02","99,167"
"11","154,156"
"12","125,179"
"13.01","134,282"
"13.02","113,300"
"14.01","120,526"
"14.02","111,361"
"15","205,159"
"16","169,250"
"17.02","91,711"
"18.03","51,182"
"18.04","42,579"
"19.01","82,963"
"19.02","89,583"
"20.01","63,060"
"20.02","87,256"
"21.01","54,359"
"21.02","76,836"
"22.01","65,069"
"22.02","54,817"
"23.01","118,750"
"23.02","60,417"
"24","105,189"
"25.01","59,141"
"25.02","73,464"
"26","181,875"
"27.01","72,308"
"27.02","78,976"
"28.01","53,568"
"28.02","59,811"
"29","103,700"
"30","67,457"
"31","94,939"
"32","92,375"
"33.01","121,250"
"33.02","112,426"
"34","88,772"
"35","87,813"
"36","93,734"
"37","79,440"
"38","98,093"
"39","97,557"
"40.01","118,988"
"40.02","102,455"
"41","143,586"
"42.01","114,205"
"42.02","105,978"
"43","95,000"
"44","166,071"
"46","98,698"
"47.01","40,378"
"47.02","101,891"
"48.01","109,601"
"48.02","67,409"
"49.01","103,500"
"49.02","87,083"
"50.01","138,295"
"50.02","87,969"
"52.01","114,271"
"53.01","90,402"
"55","79,306"
"56","83,365"
"58","137,259"
"59","101,553"
"62.02","-"
"64","19,459"
"65","125,536"
"66","134,911"
"67","140,054"
"68.01","89,327"
"68.02","156,042"
"68.04","156,583"
"69","144,063"
"70","124,583"
"71","72,109"
"72","109,605"
"73.01","84,009"
"73.04","32,428"
"74.01","14,566"
"74.03","25,761"
"74.04","42,439"
"74.06","24,688"
"74.07","34,410"
"74.08","21,728"
"74.09","38,107"
"75.02","27,003"
"75.03","26,250"
"75.04","17,077"
"76.01","34,840"
"76.03","49,435"
"76.04","54,338"
"76.05","33,659"
"77.03","26,020"
"77.07","40,995"
"77.08","35,488"
"77.09","33,750"
"78.03","37,203"
"78.04","51,065"
"78.06","37,981"
"78.07","38,438"
"78.08","31,714"
"78.09","47,713"
"79.01","51,949"
"79.03","80,588"
"80.01","139,706"
"80.02","116,641"
"81","143,068"
"82","115,742"
"83.01","147,989"
"83.02","129,167"
"84.02","93,011"
"84.10","141,563"
"87.01","100,333"
"87.02","72,292"
"88.02","64,810"
"88.03","25,774"
"88.04","43,922"
"89.03","40,605"
"89.04","33,228"
"90","38,088"
"91.02","44,217"
"92.01","84,844"
"92.03","70,156"
"92.04","26,215"
"93.01","94,495"
"93.02","71,375"
"94","97,804"
"95.01","48,395"
"95.03","104,603"
"95.04","83,690"
"95.05","67,112"
"95.07","74,375"
"95.08","56,404"
"95.09","64,792"
"96.01","29,428"
"96.02","24,138"
"96.03","44,229"
"96.04","56,010"
"97","31,771"
"98.01","20,513"
"98.02","23,625"
"98.03","26,306"
"98.04","36,559"
"98.07","41,452"
"98.10","30,704"
"98.11","30,764"
"99.01","89,813"
"99.02","51,813"
"99.03","64,279"
"99.04","30,728"
"99.05","40,650"
"99.06","44,357"
"99.07","31,426"
"101","84,514"
"102","104,215"
"103","69,741"
"104","36,477"
"105","83,750"
"106","110,469"
"107","73,750"
"108","36,058"
"109","31,094"
"110","75,529"
"111","75,781"