"Tract","Income"
"301","92,759"
"302","98,988"
"303","132,031"
"304","170,625"
"305","37,275"
"306.01","62,250"
"306.02","60,692"
"307","54,792"
"308","70,201"
"309.01","90,198"
"309.02","58,833"
"201.01","68,583"
"201.02","50,827"
"202","39,437"
"203","31,011"
"204","58,160"
"205","60,417"
"206.01","81,694"
"206.02","56,139"
"206.03","61,277"
"206.04","46,108"
"207.01","85,962"
"207.02","79,889"
"207.03","90,098"
"208","103,110"
"209.01","66,364"
"209.03","143,281"
"209.04","119,153"
"210.01","69,205"
"210.02","77,684"
"211","66,706"
"212","54,721"
"213","78,581"
"214.01","79,904"
"214.02","67,059"
"215.01","68,672"
"215.02","66,774"
"216","112,500"
"217","60,409"
"218","72,278"
"219.01","73,646"
"219.02","63,092"
"219.03","73,563"
"220","75,494"
"221","67,434"
"222.01","92,000"
"222.02","58,250"
"223","58,750"
"224","79,500"
"9800","-"
"401.01","85,625"
"401.02","112,703"
"401.03","79,758"
"402","48,143"
"403.02","60,398"
"403.03","54,930"
"403.04","64,875"
"404","76,708"
"405","34,167"
"406","62,149"
"407","90,281"
"408","69,101"
"409","84,858"
"410","75,034"
"411","65,000"
"412","39,955"
"413","105,201"
"414","69,620"
"416.01","54,115"
"416.02","82,024"
"417.01","73,958"
"417.02","89,375"
"9900","-"
"1.01","36,219"
"1.02","42,117"
"2","31,359"
"3","32,703"
"4","24,390"
"5","23,882"
"6","37,031"
"7","15,703"
"8","18,984"
"9","28,125"
"10","24,738"
"11","44,241"
"12","28,261"
"13","31,299"
"14","38,481"
"15","53,836"
"16","44,630"
"17","32,286"
"18","30,509"
"19","26,632"
"20","34,571"
"21.01","54,345"
"21.02","51,976"
"22","34,342"
"23","48,613"
"24","64,836"
"25","59,695"
"26","24,920"
"27","30,795"
"28","38,853"
"29","35,462"
"31","25,132"
"32","76,094"
"33","84,115"
"34","162,361"
"35","58,443"
"36.01","45,833"
"36.02","84,375"
"37","46,625"
"101.01","69,000"
"101.02","63,714"
"102","52,593"
"103","39,019"
"104","47,818"
"105.01","50,402"
"105.02","56,276"
"106","44,828"
"107.01","64,750"
"107.02","71,932"
"108","31,500"
"109","30,266"
"110","30,472"
"111","31,238"
"112","42,105"
"113.01","74,500"
"113.02","105,933"
"114.01","86,667"
"114.02","114,704"
"114.03","80,143"
"115","63,565"
"116","93,942"
"117.01","52,097"
"117.02","73,598"
"118","44,506"
"119.01","57,719"
"119.02","59,464"
"120","68,786"
"121.02","52,708"
"121.03","53,500"
"121.04","44,030"
"122","88,836"
"123","54,400"
"124.01","63,075"
"124.02","62,079"
"125","38,125"
"126.01","86,776"
"126.02","74,934"
"127.01","92,750"
"127.02","72,379"
"128.01","68,750"
"128.02","68,365"
"128.03","94,034"
"129","53,672"
"130.01","84,138"
"130.02","70,321"
"131.01","92,238"
"131.02","90,882"
"132.01","87,500"
"132.02","79,385"
"133","81,036"
"134","71,168"
"135","57,917"
"136","61,891"
"137.01","63,480"
"137.02","63,087"
"138","75,211"
"139","53,889"
"140","55,625"
"141","35,145"
"142","81,042"
"143","64,639"
"144","82,762"
"145.01","116,920"
"145.02","60,920"
"146","105,000"
"147","40,813"
"148","53,365"
"150","54,083"
"151","28,160"
"152","13,099"
"153","41,250"
"154","45,174"
"155","50,195"
"156","44,000"
"157","58,914"
"158","57,809"
"159","52,724"
"160","37,483"
"161","29,598"
"163","66,702"
"164","37,500"
"165","58,571"
"166","47,593"
"167","45,182"
"168","45,101"
"169","73,750"
"170","63,333"
"171","42,625"
"173","49,375"
"174","27,215"
"175","42,443"
"176","35,188"
"177","59,508"
"178","20,815"
"179","23,487"
"180","18,438"
"181","36,639"
"182","47,125"
"183","26,250"
"184","52,433"
"185","53,491"
"415","76,174"
"501.02","88,750"
"501.03","51,581"
"501.04","101,042"
"503.01","101,071"
"503.02","87,143"
"504.01","120,172"
"504.02","95,238"
"505","79,044"
"506","98,234"
"507","85,863"
"508.01","42,786"
"508.02","65,777"
"509.01","68,571"
"509.02","75,318"
"510","75,238"
"511.01","83,412"
"511.02","62,961"
"512.01","78,438"
"512.02","64,055"
"513.02","84,760"
"513.04","87,610"
"513.05","74,350"
"513.06","104,360"
"514","29,150"
"515.02","99,542"
"515.03","54,800"
"515.04","47,054"
"9901","-"
"9902","-"